web_id|media_type|total_unique_visitors_(000)|%_reach|%_composition_unique_visitors|composition_index_uv|composition_index_pv|average_daily_visitors_(000)|total_minutes_(mm)|average_minutes_per_usage_day|total_pages_viewed_(mm)|average_pages_per_usage_day|average_minutes_per_page|average_usage_days_per_visitor|average_minutes_per_visitor|average_pages_per_visitor|%_composition_pages|%_composition_minutes|total_visits_(000)|average_minutes_per_visit|average_visits_per_visitor|average_visits_per_usage_day|average_pages_per_visit|source_system
1|Total Internet:  Persons: 45-54 |250459.434204612|100|13.8393152051435|100|100|162344.446843882|386299.906746316|76.758321930042|592593.918689267|117.749225382048|0.651879633865896|20.093784321372|1542.3651657327|2366.02753883549|15.5735208253454|15.4368878165295|15325073.086|25.2070515147634|61.1878451880564|3.0451130662817|38.6682605272939|keymeasure
4962873|News/Information - Newspapers|117428.051507626|46.8850582053513|15.329399325159|110.767036503813|124.980257842895|22019.2544705358|5034.76605778544|7.37589951253729|5641.63325306564|8.26495600462998|0.892430583829527|5.81289461779309|42.8753265778107|48.0433182756103|19.4638264827336|19.7482311033304|1104299.833|4.55923826784228|9.40405481332784|1.61779206946954|5.10878756337332|keymeasure
4478202|Xinhua News Agency|11491.078480885|4.58799985609542|12.1467372508184|87.7697853597846|75.7578028902205|816.021121638194|79.215795991212|3.13147318129594|127.484529194765|5.03958054335316|0.621375758231729|2.20141693513486|6.89367809322551|11.0942179541138|11.7981572099326|12.8932822763125|27960.95|2.83308671526583|2.43327465272403|1.10532203776972|4.55937760322038|keymeasure
4752016|People's Daily online|10985.973267629|4.38632838987173|11.9806423788509|86.5696185198399|74.004829057496|774.134521589452|111.192007688557|4.63335358088785|106.300542883338|4.42952700699839|1.04601542638016|2.18443733519591|10.1212705492551|9.67602417134589|11.5251574650304|12.7744288123181|27233.563|4.08290342650196|2.47893949280268|1.13481831355915|3.90329179047699|keymeasure
18428045|Mail Online / Daily Mail|10250.362147276|4.0926236936645|17.0072672720283|122.890959703754|111.270773460072|1387.10818195542|186.780727703657|4.34370213009654|125.217415152116|2.912008961569|1.49165136076921|4.19500823705484|18.2218662150677|12.2159015801595|17.3287770773273|18.4031770894157|55487.149|3.36619795880406|5.41318913446834|1.2903882015423|2.25669217843786|keymeasure
17431|The New York Times Brand|7459.051042531|2.97814736594723|16.8925809645423|122.062260409128|100.889883006415|831.508055807387|179.23637807015|6.95341266635126|97.235044519128|3.77219958053333|1.84333106398579|3.45576797679111|24.0293808217904|13.035846512472|15.7121069406707|17.8160697524703|31241.14|5.73719070655392|4.18835315938518|1.21198911139697|3.1124038533526|keymeasure
13302296|The Guardian|7140.750005443|2.85106050331863|16.3854361854484|118.397738201372|115.15758968728|833.470934910064|63.190580638967|2.44568315664589|56.257995778563|2.17736933750284|1.12322843649979|3.61833126247487|8.84929182380006|7.87844354384072|17.9340912119143|18.2483434476774|30605.406|2.06468689351701|4.2860212129918|1.1845298017463|1.83817185037712|keymeasure
4684257|China Daily Sites|6196.55894571|2.47407687611709|10.5998764942934|76.5924927438163|60.6245913578871|344.92040652829|30.064249887049|2.8117052343956|48.675668440342|4.55230488888303|0.617644314918786|1.72555973340327|4.85176533467225|7.85527401043141|9.4413833604011|8.91978845423661|11244.638|2.67365208973815|1.81465844164766|1.0516346704896|4.32878928075248|keymeasure
4768363|Hearst Newspapers|5203.923558514|2.07775106377613|17.3439327307509|125.323633963514|152.231813848489|564.334494054419|41.329102808163|2.36242313526008|55.519198711859|3.17354674009743|0.744411010372436|3.36176523712861|7.94191197150572|10.6687191092624|23.7078532324956|18.9010460149895|22170.533|1.864145657128|4.26034947491252|1.26729535657624|2.50418872256517|keymeasure
3195195|T365 - Tribune Newspapers|5115.933325476|2.0426195330684|19.8720344095585|143.591168457331|142.199939787618|675.030052383581|36.153508694845|1.72768932560062|41.717513312505|1.99357973935442|0.866626647279281|4.09034486819548|7.06684516680662|8.15442865620683|22.1455372364533|22.6735708097661|23725.912|1.5237984822183|4.63765074533931|1.13380433552178|1.75831021005663|keymeasure
5303458|Telegraph Media Group|5102.757387687|2.03735882574833|17.0353085211227|123.093579910597|140.662889407999|498.337186182548|46.547903039532|3.01311100390109|53.923482423026|3.49054259478668|0.863221382372283|3.02747154096259|9.12210781407176|10.5675183682344|21.9061643754872|19.7549204438492|17227.554|2.70194497950969|3.37612641384249|1.11516371604572|3.1300718850178|keymeasure
17749053|WASHINGTONPOST.COM|5047.603976937|2.01533793005911|18.3980455136444|132.940432679839|107.75619382517|365.978538332194|45.24841759589|3.98828406909502|63.22226353102|5.57253402107474|0.715703852863301|2.24766735665792|8.9643359111837|12.5252028130354|16.7814332859625|17.1160115966463|13222.469|3.4220853606002|2.61955356648714|1.16545429141356|4.78142648933569|keymeasure
2866712|BILD.DE*|3674.324357364|1.4670337210625|28.440446838941|205.504726334804|132.359740046218|725.893440808129|88.342365428324|3.92585683144033|105.767317683787|4.70020634673754|0.835252017002469|6.12430870996802|24.0431591868775|28.7855146679717|20.6130716804707|18.3371665616586|31717.932|2.78524985261725|8.63231683300676|1.40951693355312|3.33462212113283|keymeasure
17175065|LENTA.RU|3428.25704092|1.36878734546661|17.2999706618633|125.00597323944|122.517663705102|339.623912801161|22.420025370459|2.12949264640544|26.987783125215|2.56334614962809|0.830747203889886|3.07104781560097|6.53977374008176|7.8721585934445|19.0803138718408|19.6580857772999|13766.821|1.62855501429553|4.01569101606966|1.30759638312041|1.96034967878314|keymeasure
